140.05,91.047,46.047,60.047
139.42,92.429,46.828,56.964
138.85,92.088,47.467,56.311
138.58,89.585,47.104,58.606
137.2,89.354,46.387,57.096
136.45,88.137,46.635,56.618
135.15,84.395,46.417,56.77
132.95,83.119,48.576,57.413
132.1,82.912,48.535,58.923
130.11,85.504,48.993,58.191
129.07,87.017,49.497,58.66
126.73,87.194,49.933,59.623
122.7,87.791,50.211,58.709
118.33,86.927,50.204,58.448
118.03,85.554,49.014,57.882
119.53,85.903,48.191,57.29
121.22,87.069,48.054,58.32
123.51,90.72,48.137,57.995
126.38,93.776,48.28,57.667
129.82,93.257,49.378,59.62
132.91,93.09,49.902,60.222
136.74,90.049,51.123,61.83
138.53,87.544,52.415,61.924
139.49,85.262,53.186,62.097
139.84,83.526,52.74,63.634
139.06,85.192,53.522,62.622
137.37,86.996,54.641,63.752
138.21,88.185,57.533,65.08
138.67,88.549,59.9,68.952
138.88,87.13,61.638,73.666
135.78,84.198,66.448,78.139
135.86,80.959,69.507,82.933
134.06,77.069,74.59,86.603
135.22,70.125,76.302,93.124
133.08,68.009,81.987,95.709
133.02,70.211,87.653,98.946
136.97,70.089,87.725,106.46
137.53,74.561,93.935,107.24
138.86,77.856,97.442,109.44
141.94,82.78,99.597,111.75
142.02,86.465,96.866,118.05
133.84,87.885,102.78,121.05
129.96,85.524,101.04,122.38
130.48,81.74,97.521,117.8
133.76,77.807,90.741,112.6
136.5,77.895,85.134,105.69
136.46,82.547,79.619,98.154
134.88,87.958,75.884,93.603
133.93,92.834,71.438,89.082
133.59,98.286,67.004,84.511
133.3,101.71,64.953,81.591
133.08,105.98,63.705,77.173
134.03,107.02,62.004,74.781
135.36,107.01,60.78,73.298
137.13,108.81,59.315,70.328
140.14,108.44,57.377,67.072
143.75,106.76,54.257,64.2
147.42,102.93,50.927,61.405
149.77,98.653,50.421,57.349
153.47,93.683,51.31,60.658
159.01,91.464,54.645,64.346
166.33,90.038,58.269,67.685
174.79,91.084,62.038,70.747
178.39,93.838,67.741,73.333
176.52,92.204,72.129,77.043
172.49,90.828,72.388,79.067
161.26,87.501,78.098,82.28
156.43,84.806,78.076,83.383
155.47,83.728,76.98,84.096
153.74,81.178,81.735,87.309
154.97,76.803,87.357,92.483
152.66,69.082,99.446,100.26
159.78,66.291,101.34,105.19
166.97,53.616,107.68,117.84
166.2,47.117,117.88,126.51
166.96,43.543,122.59,131.99
